Restaurant ID,Restaurant Name,Segment
68e7a60bb67cde810401b661,ohana,Rising Star
68e7a60bb67cde810401b661,ohana,Rising Star
69de45f4c6f05db448adb194,BTB Sweets,Rising Star
69f7056976224fa2516861c2,s tacos al amal,Rising Star
69f71fffc2c8d5944ee21203,s tacos carrefour sale,Rising Star
69f721d0c2c8d5944ee21d2e,s tacos carrefour temara,Rising Star
69f72453c2c8d5944ee2287e,s tacos ryad square,Rising Star
69f33ba5bc6c2976c5993fc7,shawarma ghali acham,Rising Star
69f33d27bc6c2976c59951c5,shawarma ghali acham sale,Rising Star
69f73246c2c8d5944ee29826,chawarma ahl cham,Rising Star
5fad65aee978a6f46dfd2d58,tacos avenue,Rising Star
691eec002c09ce616156dfc1,crush burger,Rising Star
691f2a29034b5614dd520ee7,poutine pops poutine canadien,Rising Star
691ef464136c406ab376d51d,tacos origin,Rising Star
691f1deced21dd25ff8472d6,avenue italien,Rising Star
6479c9c7004074faf2839f49,Tacos house,Rising Star
6479c9c7004074faf2839f49,Tacos house,Rising Star
661e37c363279c562db7c4ad,Naturel Juice,Rising Star
66bf4133d86979d46d38c581,Wok Up,Rising Star
69b52f28e79968aaabb5ae20,Bloom Burger,Rising Star
69f745ec58f330622f83b032,Thami Burger,Rising Star
69de183bf1262c7753fc6dd1,Just Eat,Rising Star
69db5c0a21300d39174ef194,Kyo Sushi,Rising Star
69ef1c10369ae201e48384e4,Masala,Rising Star
69f1ca54190e9159f9523ac1,Cheezy Mac,Rising Star
69f1bee8135e2cbfe016acef,Seoul Chicken,Rising Star
69f74f06e2d770c109c492ef,Rfissa,Rising Star
67f67717fcbe5782680a27fd,eric meignat -marrakech,Rising Star
67fe18db52323cfae1ced7ca,eric meignat -casa,Rising Star
68109623dc770408ff3c2777,eric meignat -rabat,Rising Star
6799f25646972c8eb1a4762a,Mykonos,Rising Star
69d380556535f9a8e9d06a8b,Misushi,Rising Star
69d39729e51f99911e9c58a3,misushi tanger,Rising Star
67725627f1ca0f408153b1b8,Yan Chocolatier,Rising Star
68fddebc6b0d50979659cf25,Bsquare Bir Anzarane,Rising Star
697b34eb63f8ffe5d0ad7184,Mahlabat Vita juice,Rising Star
6694f2e21aec7b9b765b509f,Popular Cookies,Rising Star
69e8a0599096999482578f5f,Pomo Dolce,Rising Star
69e60e1d09b4ec241aabb779,Happy Fork,Rising Star
69e8e1411b71e11c7aa154ea,Krousty Klub,Rising Star
698d9cad7973890a7865d5c7,Saveurs Benjelloun,Rising Star
679ca8a443cf4807a928a55e,Dürüm,Rising Star
69e60e1d09b4ec241aabb779,Happy Fork,Rising Star
619fc0bb8e5cbf57a58346cd,afrik'n fusion,Rising Star
69f7265276224fa25168c4e0,koul & chill,Rising Star
6564b7a80213eebbb31ef86f,palmarosa - makeup,Rising Star
5ffd8ed5756ef76cfe05e842,petit radis,Rising Star
