Restaurant Name,Restaurant ID
InstaFood,628e7bb6504e3763b2279042
Melts,68c16a1b2a46b6c737c4b182
Frangos Peri Peri,656de8d0d6cd573381a9c40a
Delizio Caffé,67641604ba10f9ffa01ab249
Fresh & Fit,67fe28d5f7bdb78481ce36c4
Dar Lkamoun,632048c0fb1e0e0d7acc3503
Dar Benkirane,65f43ae59d5cb44d9cec511e
Dalla Zia,67a1dc1186a6f1376ee0f6bf
D'Vape Shop,6538d1b24fbbf05e77165ba1
Good Time Burger,69442348cfdc58d564142a1e
Hello Sushi,5f455abe6a530f23cafd9630
Crispy Corner,69de5a60e04c4f99cb72d913
Happy Pizza,647da6f05b23a3c4695d115d
Comy Food,6a0494e2efaa44a3049d8289
Chickanova,676d6b6e309e30ceba3c908d
Dream Salad,66c20d9f90ad0093dcfd3a7e
New Terminal,69da21e67b3474bdd7f525ff
O’Burger,698db3f393c243cd9285167f
Parapharmacie Fyomedic,6870f7c2e3edf17fba779224
Pain Par Bérénice - CIL,69a00e55948f16f74ea1a28e
Quick Pizza,6a033f8a4ef184e06eeefa72
Miri Crêpes Délice,6985bade1de6574a6ec31600
Atlas Food,69286d7d52d3dd93fbf10a72
Patisserie Hassani,69b7cbb42ececcecd1edf8c4
Mr Kool,681b3fa5a07cf739f26c707d
Restaurant Africain Casablanca,6a03294941ff7cfda4d6ec82
Boucherie Chef Abdou,6991d49004f9161e9c360d49
Restaurant Poissons El Alami,65cf27437a29f155e563e590
24 Gold,64b50138b952b838967e4432
Americana Brunch,6762f0d3286e2fcdd8147eb5
Association Jeunesse Etudiante,66c625eb768b21b77a56cdba
Vapelite Kénitra,681b357ea07cf739f26bedc6
Cucina Di Sabrina,64be7cb36282667c888a6cd0
Danny Dutch Döner,658c3d769ed148073231e42c
Dippinglab,6981ba83cd6232ef8c48dddb
Dermacol,642d567ab1b005e2147aebee
Annie Fleurs,60264589e6fd0f386c5c2407
Din'Art,67289584da893c6a696ca1bc
Dades Pizza,6834948182f82deb34f3139c
Café Carrion,68483e1607a883ad5ca44fdd
Cremie Jus Leo Tanger,645131a447bd0e0195da881a
Zayna Coffee Shop,69887178b957bfc3933af76b
Bondi Coffee Kitchen,660ac1bd3ecce631147ddfe9
Donut By Paris,69808e6383e0e545de1096cd
Burrito & Co,66c1de5590ad0086c8fc90a0
Boucherie Chez Mima,69c923074f8f8ed4e512a63f
Boucherie Sozana,67f4e81cfcbe578268f7f2a2
Yemma Yenou,61680236deccf06a77fa2a87
Your Day Chocolaterie,60915b2f86391bff3647c407
Boucherie Walid,64e721c96325de3a75077250
Bocadillos Del Costa,65ae4506fd66528f025bb97c
Bat&Bot,6919aa030799dd4fdc90c7e5
La Zone,65dc4eec7201ca28e6fd854a
Coin Zrika,69845960c4c2f9f2bdfa5d24
Beldi Factory,6968cafa6cccf1424701dea8
Coffee Break,696f5199c990a01ae57e32cc
Vivace Atelier,669777eb46b0ab4ea6c2f44b
Galette Du Chef Breakfast,65e1bb73444514352f877c5f
Chirita Aiko,6008397baf8095402783e999
Casita De Mamá,690228e829fd4a2e98702e0a
Bloom burger,69b52f28e79968aaabb5ae20
Coin Fournitures Scolaires,66b9eaeaa323f10a11c3f572
My Passtila,69da8fb9b43039c9a30d8bdb
Mr.Toast Gourmand,69e7623a175cc516f4c07718
Mister Sandwich & Hot Dog,66c370e6b6efc079c90e7957
Mba Paramedical,69d4c76814c8bfe213820db2
Okinawa,677e7a3e1b3acedc494c56ab
Lee Chocolat,600adeab6df35c2a262d31b9
Le Rôti,678fc14d396782865ec9a385
Le Petit Fumé,6a29397120ab8f58cef3c4e1
Le Panier,68838af727e8df93de5a5f60
Pacifish,65c1fbf66a9a4340bfddf58a
Raffinatto,6984a259b7c25d875de7749e
Snack Hawaï 21,665dd84f60d6ff65620338cb
Queen Food,69da9f67f6aa320060f51831
Pizza Le Nord,677ba6656dc8baf8c218ef21
Petcorner,6597caf79dccda12f0380006
Sandwich Tarik,64b6ad0743fb168ea9ac7feb
Saykouk,6936e04d279a3c443d0f1fe8
Para Dreamshop,698ae6cb7780a543885367be
Panda Crêpe Marina,67a1d87123ca6d937bfd8802
La Sucrerie,69690cb26cccf1424703859b
La Fermière Bistrot Crémerie,67c5941329a7707ba5dbabf3
Déco & Marc Gifts,664badaa068784f3145fd546
Fino Resto,68be9d6e8316ccceddd421be
Glofood,6447abfc1c57b85d5728eccb
Gin Khao,69281188c19e578f40aa717e
Franky Vaper,6839ba273a371acc2ada7c2a
Fougère & Jasmin,6797a065d5fc008a9fc0fd65
Fleuriste Merrakech,68d908b3cb9a84f5d12a9301
Fleuriste Atelier,65081a872b0e3e71ffa36c7a
Fleurilège Odarb -Sidi Maarouf,68078614eb207d10687fda74
Family Toys,63ada0051db1d349955620e3
Familia Bldy,64b5073a09203138621a7df7
Empa'Loka,69e4f2eda6c6449812d67bb4
El Pan Bakery,697e153859d245c1f42b6f60
Délices Marocains,691c8c678a44559df79521a2
Golden Food,6479ce039b38a56e43277618
Harlem American Food,678a45ccd792aae52a62b5bd
Soso Lobi Tanger,67f64eb5b18bf63457481948
Juice Fit,66be35c492df48ed233c8fa8
La Barquette Gourmande,69dcc686bae1a1d5eed27346
Le Coin Electro,642d5bb4aad5f89261dcd34d
Koki Chiki,68c6da6307fcd73436c2e482
Joana Food,69c90f344f8f8ed4e51216bf
Sushi Sushi,69708cd3662e9da53a1e135c
Hortensia  Café,672a2d54ae1247cdb8e72c7a
Tamo Flowers,63af028e7ddb02788d23db80
Achab Harhoura,66e40d77cf14eec99fff2fa7
Achsoft,654a00d426a1e6425fa970ef
Adalia Flower,67a9f4da0c2302882f659deb
ADELIS -  Breakfast,663e009742751a000dc0422c
Al Sufra Loubnania,651c17a9025840b77ec1d4de
Alpha Burger,672369ae26fd660f62e04887
Amazing Flowrs,69c8f7054f8f8ed4e511c5c7
Americana Express,6762f62c40d56491c84a2278
Americana Gelato & Dessert,6762f3f072c3c5070399927d
Amigo Food,6448fdd235e61b81d005b8cf
Amore Ice,68af2c42cdd1ad064815976d
Anbar Resataurant,6a0ec70ee402c683aeda4c7c
Anour,69f86d8cc2c8d5944ef07685
Asia Halal Hub,67ed2d825fb6799b9ad27353
Asmama Shop,6537d80ce2a829616b8d4e7a
Atlas  - Sweets,6523c7b3d7336bb08bccd053
A-Ttine Signature,683589d7ac2e34545d9da2f8
Aux Crevette,67a491af490f24ce43f8738e
Ayourino - Breakfast,66f3e2f9d8b1cbc8410d8750
Baba Turc,676057737a75e9a06337fb40
Babali Darb,688b7665b0e8b5306bbeeab1
Bachandi,6a0482de3455e667eff71c81
Bar À Fleurs,67af102ec3318d00efd385e4
Bazarcom,6551e552fb77890de8c468cb
Be Chef,6a1ee7346f02f1e004b0653e
Beyrouth Street Food,6659e91b23c29686b8a95e41
Big Mami,6981afdb737c4b06f378210e
Big Smash,673f0d3d8adc3a3219e34b30
Bio For You,5ec3e298b9cdad000197db27
Bombay,69e345e85202659e59ba24c7
Bopster - Korean Street Bowl,69e1e7a6bc6c953d71003e83
Botanika Marrakech,691de6db29d2031611efeab9
Boucherie Ladide,69f86499c2c8d5944ef00d9a
Boucherie Le Cristal,69a2c54dcaebd96687130134
Boutique G.Luxe,65f2c09aebde0d616b3ccd20
Caddy Box,6871116ee3edf17fba78673e
Café La Galette Du Chef,65e1b941e8ed2176299f65e8
